Invoice ID,Date,Time,Store ID,Region,City,Customer Type,Gender,Product Line,Unit Price,Quantity,Tax,Total,Payment,COGS,Gross Margin %,Gross Income
INV-1021,2022-03-03,20:01:00,S009,East,Kolkata,Normal,Female,Clothing,82.23,1,4.11,86.34,E-wallet,82.23,5.0,4.11
INV-1022,2022-03-29,13:46:00,S001,South,Chennai,Normal,Male,Home Decor,184.26,3,27.64,580.42,Cash,552.78,5.0,27.64
INV-1023,2022-03-25,09:41:00,S010,West,Ahmedabad,Member,Male,Sports,147.82,8,59.13,1241.69,Credit Card,1182.56,5.0,59.13
INV-1024,2022-07-01,10:42:00,S008,East,Kolkata,Normal,Female,Clothing,13.96,7,4.89,102.61,Credit Card,97.72,5.0,4.89
INV-1025,2022-11-23,13:18:00,S001,South,Bangalore,Member,Female,Clothing,377.23,1,18.86,396.09,E-wallet,377.23,5.0,18.86
INV-1026,2022-11-01,11:44:00,S006,West,Ahmedabad,Normal,Female,Clothing,87.28,9,39.28,824.8,Credit Card,785.52,5.0,39.28
INV-1027,2022-05-12,21:48:00,S005,North,Chandigarh,Member,Male,Clothing,324.75,8,129.9,2727.9,Cash,2598.0,5.0,129.9
INV-1028,2022-04-26,14:02:00,S006,East,Kolkata,Normal,Female,Books,247.99,3,37.2,781.17,Credit Card,743.97,5.0,37.2
INV-1029,2022-12-09,16:46:00,S001,West,Ahmedabad,Member,Female,Sports,196.85,2,19.69,413.39,Credit Card,393.7,5.0,19.69
INV-1030,2022-06-06,10:48:00,S006,East,Patna,Normal,Female,Electronics,145.87,3,21.88,459.49,Credit Card,437.61,5.0,21.88
INV-1031,2022-04-18,13:04:00,S006,South,Bangalore,Normal,Male,Groceries,478.67,3,71.8,1507.81,Credit Card,1436.01,5.0,71.8
INV-1032,2022-04-27,16:14:00,S007,East,Patna,Member,Male,Home Decor,57.39,4,11.48,241.04,Cash,229.56,5.0,11.48
INV-1033,2022-02-16,10:39:00,S005,South,Bangalore,Normal,Female,Books,239.17,7,83.71,1757.9,Credit Card,1674.19,5.0,83.71
INV-1034,2022-08-29,15:39:00,S006,North,Delhi,Member,Female,Sports,213.4,4,42.68,896.28,E-wallet,853.6,5.0,42.68
INV-1035,2022-02-28,20:26:00,S004,East,Kolkata,Member,Female,Groceries,454.58,2,45.46,954.62,Cash,909.16,5.0,45.46
INV-1036,2022-12-04,12:34:00,S007,South,Chennai,Member,Female,Clothing,447.12,6,134.14,2816.86,E-wallet,2682.72,5.0,134.14
INV-1037,2022-07-19,09:26:00,S010,South,Bangalore,Member,Male,Home Decor,40.9,4,8.18,171.78,Credit Card,163.6,5.0,8.18
INV-1038,2022-02-23,17:34:00,S003,East,Patna,Normal,Female,Books,70.03,4,14.01,294.13,Credit Card,280.12,5.0,14.01
INV-1039,2022-07-14,13:27:00,S001,South,Bangalore,Normal,Male,Books,439.04,8,175.62,3687.94,Credit Card,3512.32,5.0,175.62
INV-1040,2022-03-25,14:27:00,S002,East,Bhubaneswar,Normal,Female,Books,404.22,4,80.84,1697.72,Cash,1616.88,5.0,80.84
INV-1041,2022-01-11,19:34:00,S010,East,Kolkata,Member,Male,Electronics,227.41,2,22.74,477.56,Cash,454.82,5.0,22.74
INV-1042,2022-06-25,19:12:00,S004,West,Pune,Member,Female,Electronics,30.73,6,9.22,193.6,Cash,184.38,5.0,9.22
INV-1043,2022-06-22,11:54:00,S001,East,Bhubaneswar,Member,Male,Groceries,444.25,4,88.85,1865.85,Cash,1777.0,5.0,88.85
INV-1044,2022-03-26,12:02:00,S003,West,Ahmedabad,Member,Male,Groceries,193.96,8,77.58,1629.26,Cash,1551.68,5.0,77.58
INV-1045,2022-09-05,11:06:00,S001,East,Bhubaneswar,Normal,Male,Books,195.34,7,68.37,1435.75,Cash,1367.38,5.0,68.37
INV-1046,2022-06-10,11:50:00,S009,South,Chennai,Normal,Male,Clothing,268.55,1,13.43,281.98,Credit Card,268.55,5.0,13.43
INV-1047,2022-05-26,19:05:00,S002,North,Delhi,Normal,Female,Home Decor,107.76,1,5.39,113.15,E-wallet,107.76,5.0,5.39
INV-1048,2022-01-31,12:18:00,S007,North,Chandigarh,Normal,Male,Clothing,64.01,10,32.01,672.11,Credit Card,640.1,5.0,32.01
INV-1049,2022-07-21,14:51:00,S003,East,Bhubaneswar,Member,Female,Sports,344.12,5,86.03,1806.63,Cash,1720.6,5.0,86.03
INV-1050,2022-02-28,20:20:00,S007,East,Bhubaneswar,Normal,Male,Electronics,19.76,3,2.96,62.24,Credit Card,59.28,5.0,2.96
INV-1051,2022-02-02,12:09:00,S005,West,Pune,Normal,Female,Groceries,366.55,6,109.97,2309.27,Cash,2199.3,5.0,109.97
INV-1052,2022-02-05,14:37:00,S006,North,Lucknow,Normal,Male,Electronics,389.47,10,194.74,4089.44,Cash,3894.7,5.0,194.74
INV-1053,2022-09-21,11:26:00,S007,South,Chennai,Normal,Male,Sports,56.37,5,14.09,295.94,Credit Card,281.85,5.0,14.09
INV-1054,2022-11-13,11:32:00,S006,South,Hyderabad,Member,Male,Sports,367.21,1,18.36,385.57,Credit Card,367.21,5.0,18.36
INV-1055,2022-07-09,10:13:00,S010,North,Lucknow,Normal,Female,Home Decor,159.05,1,7.95,167.0,E-wallet,159.05,5.0,7.95
INV-1056,2022-01-24,18:13:00,S002,North,Lucknow,Member,Male,Books,72.62,6,21.79,457.51,Cash,435.72,5.0,21.79
INV-1057,2022-03-01,15:25:00,S008,South,Bangalore,Normal,Male,Home Decor,18.98,9,8.54,179.36,Credit Card,170.82,5.0,8.54
INV-1058,2022-12-28,16:25:00,S006,North,Delhi,Member,Female,Books,147.75,10,73.88,1551.38,Credit Card,1477.5,5.0,73.88
INV-1059,2022-02-05,20:09:00,S001,North,Delhi,Normal,Female,Clothing,105.79,1,5.29,111.08,Cash,105.79,5.0,5.29
INV-1060,2022-07-15,12:22:00,S008,North,Delhi,Member,Male,Clothing,402.89,5,100.72,2115.17,E-wallet,2014.45,5.0,100.72
INV-1061,2022-01-22,13:34:00,S009,East,Patna,Normal,Female,Home Decor,468.18,8,187.27,3932.71,Cash,3745.44,5.0,187.27
INV-1062,2022-07-15,18:42:00,S007,North,Chandigarh,Member,Female,Home Decor,222.87,8,89.15,1872.11,E-wallet,1782.96,5.0,89.15
INV-1063,2022-01-28,21:18:00,S001,North,Chandigarh,Normal,Male,Sports,492.54,3,73.88,1551.5,Credit Card,1477.62,5.0,73.88
INV-1064,2022-10-02,15:27:00,S010,East,Patna,Normal,Male,Clothing,297.52,8,119.01,2499.17,Cash,2380.16,5.0,119.01
INV-1065,2022-09-27,11:09:00,S009,North,Chandigarh,Normal,Male,Sports,71.32,3,10.7,224.66,E-wallet,213.96,5.0,10.7
INV-1066,2022-10-25,14:29:00,S007,North,Chandigarh,Normal,Female,Home Decor,185.82,7,65.04,1365.78,E-wallet,1300.74,5.0,65.04
INV-1067,2022-10-26,14:57:00,S006,East,Patna,Normal,Female,Home Decor,175.98,3,26.4,554.34,Credit Card,527.94,5.0,26.4
INV-1068,2022-11-07,13:16:00,S010,East,Patna,Normal,Male,Electronics,12.58,4,2.52,52.84,E-wallet,50.32,5.0,2.52
INV-1069,2022-11-05,19:48:00,S004,East,Kolkata,Normal,Male,Home Decor,389.12,10,194.56,4085.76,E-wallet,3891.2,5.0,194.56
INV-1070,2022-06-03,10:48:00,S010,East,Kolkata,Member,Male,Books,285.32,6,85.6,1797.52,E-wallet,1711.92,5.0,85.6
INV-1071,2022-02-23,12:01:00,S010,North,Delhi,Member,Female,Sports,284.56,1,14.23,298.79,E-wallet,284.56,5.0,14.23
INV-1072,2022-06-29,14:07:00,S009,North,Lucknow,Normal,Male,Electronics,281.15,1,14.06,295.21,E-wallet,281.15,5.0,14.06
INV-1073,2022-07-11,21:46:00,S003,East,Patna,Member,Female,Sports,250.98,3,37.65,790.59,Credit Card,752.94,5.0,37.65
INV-1074,2022-05-29,17:23:00,S007,East,Bhubaneswar,Normal,Male,Groceries,263.5,5,65.88,1383.38,Cash,1317.5,5.0,65.88
INV-1075,2022-08-01,17:41:00,S003,North,Lucknow,Member,Male,Home Decor,285.5,8,114.2,2398.2,Credit Card,2284.0,5.0,114.2
INV-1076,2022-04-13,19:19:00,S006,North,Delhi,Member,Male,Books,300.58,8,120.23,2524.87,Cash,2404.64,5.0,120.23
INV-1077,2022-07-20,20:34:00,S002,South,Bangalore,Member,Female,Electronics,90.5,7,31.68,665.18,E-wallet,633.5,5.0,31.68
INV-1078,2022-11-02,16:20:00,S004,East,Patna,Member,Male,Clothing,325.66,6,97.7,2051.66,Credit Card,1953.96,5.0,97.7
INV-1079,2022-03-15,10:44:00,S007,North,Chandigarh,Normal,Female,Sports,70.6,6,21.18,444.78,E-wallet,423.6,5.0,21.18
INV-1080,2022-11-11,09:33:00,S002,East,Patna,Normal,Female,Electronics,118.12,1,5.91,124.03,E-wallet,118.12,5.0,5.91
INV-1081,2022-12-06,16:32:00,S009,North,Chandigarh,Normal,Male,Clothing,41.68,5,10.42,218.82,Cash,208.4,5.0,10.42
INV-1082,2022-06-13,17:53:00,S009,North,Lucknow,Member,Female,Home Decor,251.92,2,25.19,529.03,Credit Card,503.84,5.0,25.19
INV-1083,2022-02-04,09:50:00,S003,West,Pune,Normal,Female,Home Decor,173.91,6,52.17,1095.63,E-wallet,1043.46,5.0,52.17
INV-1084,2022-12-09,19:27:00,S008,East,Bhubaneswar,Member,Male,Books,73.34,4,14.67,308.03,E-wallet,293.36,5.0,14.67
INV-1085,2022-08-11,11:18:00,S006,North,Lucknow,Member,Male,Home Decor,475.17,8,190.07,3991.43,Credit Card,3801.36,5.0,190.07
INV-1086,2022-06-16,09:55:00,S007,South,Chennai,Normal,Female,Groceries,483.13,6,144.94,3043.72,Credit Card,2898.78,5.0,144.94
INV-1087,2022-01-08,18:54:00,S001,East,Patna,Normal,Female,Groceries,158.07,8,63.23,1327.79,Cash,1264.56,5.0,63.23
INV-1088,2022-01-13,11:16:00,S009,East,Kolkata,Member,Female,Books,448.96,10,224.48,4714.08,Credit Card,4489.6,5.0,224.48
INV-1089,2022-07-20,18:01:00,S010,West,Mumbai,Normal,Male,Clothing,166.82,10,83.41,1751.61,Credit Card,1668.2,5.0,83.41
INV-1090,2022-09-06,21:10:00,S007,West,Pune,Normal,Female,Books,440.37,1,22.02,462.39,Cash,440.37,5.0,22.02
INV-1091,2022-04-02,20:41:00,S004,South,Hyderabad,Normal,Male,Books,124.58,7,43.6,915.66,Credit Card,872.06,5.0,43.6
INV-1092,2022-06-20,12:21:00,S010,South,Hyderabad,Normal,Female,Books,239.96,2,24.0,503.92,Cash,479.92,5.0,24.0
INV-1093,2022-02-28,20:58:00,S008,North,Chandigarh,Member,Female,Home Decor,402.15,8,160.86,3378.06,Credit Card,3217.2,5.0,160.86
INV-1094,2022-04-09,16:27:00,S010,South,Chennai,Normal,Male,Groceries,462.77,9,208.25,4373.18,E-wallet,4164.93,5.0,208.25
INV-1095,2022-08-28,11:45:00,S001,South,Chennai,Normal,Female,Sports,330.12,3,49.52,1039.88,E-wallet,990.36,5.0,49.52
INV-1096,2022-05-12,18:55:00,S010,East,Kolkata,Normal,Female,Home Decor,297.07,8,118.83,2495.39,E-wallet,2376.56,5.0,118.83
INV-1097,2022-07-05,09:02:00,S003,West,Ahmedabad,Member,Male,Electronics,488.48,2,48.85,1025.81,Cash,976.96,5.0,48.85
INV-1098,2022-09-22,09:06:00,S007,North,Delhi,Normal,Male,Clothing,204.63,6,61.39,1289.17,E-wallet,1227.78,5.0,61.39
INV-1099,2022-06-06,14:22:00,S003,South,Chennai,Member,Female,Clothing,363.12,8,145.25,3050.21,E-wallet,2904.96,5.0,145.25
INV-1100,2022-01-26,09:19:00,S003,North,Delhi,Normal,Male,Clothing,239.06,7,83.67,1757.09,Cash,1673.42,5.0,83.67
INV-1101,2022-09-12,14:29:00,S005,East,Kolkata,Member,Male,Books,442.76,5,110.69,2324.49,Cash,2213.8,5.0,110.69
INV-1102,2022-07-06,12:47:00,S008,North,Lucknow,Member,Female,Home Decor,355.7,7,124.5,2614.4,Cash,2489.9,5.0,124.5
INV-1103,2022-08-11,21:03:00,S005,North,Delhi,Member,Male,Home Decor,78.38,3,11.76,246.9,Credit Card,235.14,5.0,11.76
INV-1104,2022-09-27,10:19:00,S006,East,Kolkata,Member,Male,Electronics,100.41,6,30.12,632.58,E-wallet,602.46,5.0,30.12
INV-1105,2022-04-12,21:20:00,S006,East,Bhubaneswar,Member,Female,Books,127.35,3,19.1,401.15,Cash,382.05,5.0,19.1
INV-1106,2022-11-29,15:25:00,S010,South,Bangalore,Normal,Female,Home Decor,153.45,9,69.05,1450.1,Credit Card,1381.05,5.0,69.05
INV-1107,2022-08-20,20:23:00,S007,East,Patna,Member,Male,Sports,249.95,4,49.99,1049.79,Cash,999.8,5.0,49.99
INV-1108,2022-10-24,20:04:00,S007,West,Mumbai,Normal,Female,Clothing,376.57,6,112.97,2372.39,Cash,2259.42,5.0,112.97
INV-1109,2022-08-21,20:17:00,S004,North,Chandigarh,Member,Female,Sports,253.39,10,126.69,2660.59,Credit Card,2533.9,5.0,126.69
INV-1110,2022-11-14,13:32:00,S001,North,Chandigarh,Normal,Female,Groceries,320.56,8,128.22,2692.7,Credit Card,2564.48,5.0,128.22
INV-1111,2022-04-18,11:23:00,S002,South,Bangalore,Member,Male,Clothing,351.31,6,105.39,2213.25,Cash,2107.86,5.0,105.39
INV-1112,2022-11-21,14:48:00,S010,South,Hyderabad,Normal,Male,Sports,85.3,5,21.33,447.83,E-wallet,426.5,5.0,21.33
INV-1113,2022-10-13,17:52:00,S007,West,Ahmedabad,Normal,Female,Sports,320.53,6,96.16,2019.34,Cash,1923.18,5.0,96.16
INV-1114,2022-08-25,19:08:00,S001,South,Chennai,Member,Male,Electronics,25.15,6,7.54,158.44,Credit Card,150.9,5.0,7.54
INV-1115,2022-08-10,17:28:00,S007,South,Bangalore,Normal,Female,Electronics,241.21,9,108.54,2279.43,Cash,2170.89,5.0,108.54
INV-1116,2022-07-01,15:19:00,S003,South,Hyderabad,Normal,Female,Sports,389.85,1,19.49,409.34,Cash,389.85,5.0,19.49
INV-1117,2022-05-02,10:18:00,S003,East,Patna,Member,Male,Groceries,140.81,3,21.12,443.55,Cash,422.43,5.0,21.12
INV-1118,2022-01-09,19:19:00,S004,South,Hyderabad,Member,Female,Electronics,425.0,8,170.0,3570.0,Credit Card,3400.0,5.0,170.0
INV-1119,2022-07-26,19:24:00,S003,East,Patna,Normal,Female,Clothing,242.47,9,109.11,2291.34,Cash,2182.23,5.0,109.11
INV-1120,2022-07-10,13:00:00,S005,East,Bhubaneswar,Normal,Male,Clothing,325.67,7,113.98,2393.67,E-wallet,2279.69,5.0,113.98
INV-1121,2022-01-02,19:45:00,S007,North,Lucknow,Normal,Female,Home Decor,137.99,5,34.5,724.45,Cash,689.95,5.0,34.5
INV-1122,2022-05-18,20:46:00,S007,South,Bangalore,Member,Male,Books,56.27,2,5.63,118.17,Cash,112.54,5.0,5.63
INV-1123,2022-07-23,11:26:00,S009,North,Lucknow,Member,Male,Groceries,158.53,6,47.56,998.74,E-wallet,951.18,5.0,47.56
INV-1124,2022-08-30,21:15:00,S002,East,Kolkata,Member,Male,Sports,189.21,2,18.92,397.34,Cash,378.42,5.0,18.92
INV-1125,2022-09-27,12:20:00,S003,East,Patna,Member,Female,Home Decor,48.92,3,7.34,154.1,Credit Card,146.76,5.0,7.34
INV-1126,2022-02-18,16:41:00,S006,West,Mumbai,Member,Female,Clothing,363.71,6,109.11,2291.37,Credit Card,2182.26,5.0,109.11
INV-1127,2022-08-17,09:26:00,S009,North,Chandigarh,Member,Male,Books,348.73,9,156.93,3295.5,Cash,3138.57,5.0,156.93
INV-1128,2022-04-15,14:31:00,S008,West,Mumbai,Normal,Female,Clothing,460.91,3,69.14,1451.87,Credit Card,1382.73,5.0,69.14
INV-1129,2022-02-03,09:29:00,S005,North,Lucknow,Normal,Male,Clothing,15.74,4,3.15,66.11,Credit Card,62.96,5.0,3.15
INV-1130,2022-03-23,12:54:00,S001,West,Ahmedabad,Member,Male,Electronics,438.65,5,109.66,2302.91,Credit Card,2193.25,5.0,109.66
INV-1131,2022-02-19,15:09:00,S005,North,Chandigarh,Member,Female,Home Decor,195.96,4,39.19,823.03,E-wallet,783.84,5.0,39.19
INV-1132,2022-03-08,19:51:00,S010,West,Ahmedabad,Normal,Female,Books,65.71,3,9.86,206.99,Credit Card,197.13,5.0,9.86
INV-1133,2022-11-21,15:54:00,S010,East,Patna,Member,Male,Sports,239.24,3,35.89,753.61,Credit Card,717.72,5.0,35.89
INV-1134,2022-05-17,21:36:00,S003,West,Mumbai,Member,Male,Groceries,135.74,3,20.36,427.58,Credit Card,407.22,5.0,20.36
INV-1135,2022-07-24,19:49:00,S007,West,Ahmedabad,Member,Female,Home Decor,31.81,4,6.36,133.6,Cash,127.24,5.0,6.36
INV-1136,2022-05-22,14:35:00,S002,South,Chennai,Normal,Male,Sports,450.3,9,202.64,4255.34,Cash,4052.7,5.0,202.64
INV-1137,2022-04-25,15:56:00,S002,East,Patna,Normal,Male,Clothing,146.53,1,7.33,153.86,E-wallet,146.53,5.0,7.33
INV-1138,2022-07-01,18:12:00,S003,West,Ahmedabad,Member,Male,Clothing,244.59,1,12.23,256.82,E-wallet,244.59,5.0,12.23
INV-1139,2022-06-15,17:42:00,S009,West,Ahmedabad,Normal,Female,Clothing,116.57,5,29.14,611.99,Cash,582.85,5.0,29.14
INV-1140,2022-06-14,09:19:00,S003,West,Pune,Normal,Male,Electronics,388.08,5,97.02,2037.42,Credit Card,1940.4,5.0,97.02
INV-1141,2022-10-16,14:22:00,S010,North,Lucknow,Member,Male,Clothing,230.31,5,57.58,1209.13,E-wallet,1151.55,5.0,57.58
INV-1142,2022-11-26,10:32:00,S003,East,Kolkata,Member,Female,Electronics,405.86,5,101.47,2130.77,Cash,2029.3,5.0,101.47
INV-1143,2022-01-04,21:24:00,S010,North,Chandigarh,Member,Female,Books,284.02,1,14.2,298.22,Credit Card,284.02,5.0,14.2
INV-1144,2022-01-18,10:00:00,S006,West,Pune,Member,Female,Home Decor,148.89,7,52.11,1094.34,E-wallet,1042.23,5.0,52.11
INV-1145,2022-07-13,14:48:00,S002,South,Chennai,Normal,Male,Electronics,105.13,6,31.54,662.32,E-wallet,630.78,5.0,31.54
INV-1146,2022-07-27,15:27:00,S010,East,Patna,Member,Female,Books,336.65,7,117.83,2474.38,Credit Card,2356.55,5.0,117.83
INV-1147,2022-04-18,17:21:00,S005,South,Hyderabad,Normal,Male,Books,292.64,5,73.16,1536.36,Credit Card,1463.2,5.0,73.16
INV-1148,2022-04-25,18:39:00,S010,North,Chandigarh,Normal,Female,Books,368.84,2,36.88,774.56,E-wallet,737.68,5.0,36.88
INV-1149,2022-01-09,20:25:00,S008,West,Pune,Normal,Female,Home Decor,235.32,8,94.13,1976.69,Cash,1882.56,5.0,94.13
INV-1150,2022-12-07,13:12:00,S010,West,Pune,Normal,Male,Electronics,231.91,9,104.36,2191.55,Cash,2087.19,5.0,104.36
INV-1151,2022-05-10,11:19:00,S010,South,Chennai,Member,Male,Home Decor,437.99,6,131.4,2759.34,Cash,2627.94,5.0,131.4
INV-1152,2022-05-21,18:02:00,S010,North,Chandigarh,Member,Male,Electronics,78.59,6,23.58,495.12,Cash,471.54,5.0,23.58
INV-1153,2022-07-07,12:11:00,S009,North,Delhi,Normal,Female,Home Decor,149.32,2,14.93,313.57,E-wallet,298.64,5.0,14.93
INV-1154,2022-07-25,13:07:00,S002,South,Chennai,Normal,Male,Home Decor,478.79,3,71.82,1508.19,Credit Card,1436.37,5.0,71.82
INV-1155,2022-06-02,10:51:00,S010,East,Kolkata,Member,Female,Home Decor,59.91,4,11.98,251.62,E-wallet,239.64,5.0,11.98
INV-1156,2022-03-22,18:38:00,S009,North,Delhi,Member,Female,Home Decor,462.18,1,23.11,485.29,E-wallet,462.18,5.0,23.11
INV-1157,2022-02-27,09:14:00,S003,West,Mumbai,Normal,Male,Home Decor,138.48,9,62.32,1308.64,Cash,1246.32,5.0,62.32
INV-1158,2022-02-10,11:20:00,S008,South,Bangalore,Member,Female,Home Decor,191.78,10,95.89,2013.69,E-wallet,1917.8,5.0,95.89
INV-1159,2022-04-10,15:53:00,S003,South,Hyderabad,Member,Female,Groceries,332.19,8,132.88,2790.4,Credit Card,2657.52,5.0,132.88
INV-1160,2022-11-27,13:42:00,S009,West,Pune,Member,Male,Clothing,107.33,6,32.2,676.18,E-wallet,643.98,5.0,32.2
INV-1161,2022-07-16,20:21:00,S002,North,Lucknow,Member,Female,Clothing,263.25,7,92.14,1934.89,E-wallet,1842.75,5.0,92.14
INV-1162,2022-10-19,14:06:00,S010,West,Pune,Member,Male,Groceries,50.78,4,10.16,213.28,Credit Card,203.12,5.0,10.16
INV-1163,2022-08-02,09:34:00,S010,East,Kolkata,Normal,Female,Groceries,376.48,4,75.3,1581.22,Credit Card,1505.92,5.0,75.3
INV-1164,2022-04-20,17:57:00,S010,South,Bangalore,Normal,Male,Sports,303.68,7,106.29,2232.05,Credit Card,2125.76,5.0,106.29
INV-1165,2022-04-15,12:30:00,S005,South,Bangalore,Member,Male,Electronics,325.75,8,130.3,2736.3,E-wallet,2606.0,5.0,130.3
INV-1166,2022-09-04,19:45:00,S007,South,Hyderabad,Normal,Female,Home Decor,83.24,1,4.16,87.4,Cash,83.24,5.0,4.16
INV-1167,2022-04-07,19:56:00,S010,South,Chennai,Normal,Male,Books,159.35,8,63.74,1338.54,Cash,1274.8,5.0,63.74
INV-1168,2022-05-28,12:14:00,S009,South,Chennai,Member,Female,Sports,40.47,7,14.16,297.45,E-wallet,283.29,5.0,14.16
INV-1169,2022-05-12,21:50:00,S004,South,Hyderabad,Normal,Male,Books,435.3,10,217.65,4570.65,E-wallet,4353.0,5.0,217.65
INV-1170,2022-04-24,16:22:00,S003,West,Ahmedabad,Member,Female,Home Decor,150.19,5,37.55,788.5,E-wallet,750.95,5.0,37.55
INV-1171,2022-11-27,10:28:00,S008,North,Delhi,Member,Male,Books,341.26,8,136.5,2866.58,E-wallet,2730.08,5.0,136.5
INV-1172,2022-01-16,16:56:00,S001,West,Pune,Normal,Female,Clothing,129.7,4,25.94,544.74,Cash,518.8,5.0,25.94
INV-1173,2022-02-20,12:09:00,S008,South,Bangalore,Member,Male,Clothing,447.29,9,201.28,4226.89,Cash,4025.61,5.0,201.28
INV-1174,2022-03-19,09:03:00,S008,South,Chennai,Normal,Male,Sports,123.82,8,49.53,1040.09,Cash,990.56,5.0,49.53
INV-1175,2022-10-28,16:52:00,S003,East,Kolkata,Normal,Male,Groceries,488.1,10,244.05,5125.05,Credit Card,4881.0,5.0,244.05
INV-1176,2022-04-17,16:04:00,S007,East,Bhubaneswar,Normal,Female,Home Decor,108.26,3,16.24,341.02,E-wallet,324.78,5.0,16.24
INV-1177,2022-12-18,19:39:00,S009,East,Kolkata,Member,Female,Groceries,468.77,3,70.32,1476.63,Credit Card,1406.31,5.0,70.32
INV-1178,2022-04-05,14:58:00,S001,West,Pune,Member,Male,Books,360.0,3,54.0,1134.0,Credit Card,1080.0,5.0,54.0
INV-1179,2022-10-11,21:35:00,S008,North,Delhi,Member,Female,Home Decor,406.29,9,182.83,3839.44,Credit Card,3656.61,5.0,182.83
INV-1180,2022-06-05,18:21:00,S002,North,Lucknow,Member,Male,Books,249.02,6,74.71,1568.83,Cash,1494.12,5.0,74.71
INV-1181,2022-12-14,11:01:00,S009,West,Mumbai,Member,Male,Electronics,307.14,3,46.07,967.49,E-wallet,921.42,5.0,46.07
INV-1182,2022-11-27,09:05:00,S001,East,Patna,Normal,Male,Sports,144.2,7,50.47,1059.87,Credit Card,1009.4,5.0,50.47
INV-1183,2022-09-20,10:15:00,S005,West,Pune,Member,Male,Clothing,308.19,5,77.05,1618.0,Credit Card,1540.95,5.0,77.05
INV-1184,2022-08-26,09:06:00,S007,West,Mumbai,Member,Female,Groceries,265.28,10,132.64,2785.44,E-wallet,2652.8,5.0,132.64
INV-1185,2022-12-13,10:50:00,S007,North,Lucknow,Normal,Female,Books,269.9,6,80.97,1700.37,E-wallet,1619.4,5.0,80.97
INV-1186,2022-09-13,11:03:00,S004,North,Chandigarh,Normal,Female,Clothing,225.29,1,11.26,236.55,Cash,225.29,5.0,11.26
INV-1187,2022-05-08,18:42:00,S004,North,Lucknow,Member,Female,Home Decor,316.97,4,63.39,1331.27,Credit Card,1267.88,5.0,63.39
